Wed Aug 15 19:35:11 CEST 2018
Connecting to host x.x.x.x, port 5201
[  4] local x.x.x.x port 48944 connected to x.x.x.x port 5201
ID,Datetime,Transfer [Mbytes],Bandwith [Gbits/sec],Retr,Cwnd [Kbytes]
[ 4],2018-08-15 19:35:11,375,3.14,273,471
[ 4],2018-08-15 19:35:12,428,3.59,145,376
[ 4],2018-08-15 19:35:13,360,3.02,148,454
[ 4],2018-08-15 19:35:14,339,2.84,83,407
[ 4],2018-08-15 19:35:15,305,2.56,104,414
[ 4],2018-08-15 19:35:16,301,2.53,186,440
[ 4],2018-08-15 19:35:17,325,2.73,174,485
[ 4],2018-08-15 19:35:18,434,3.64,81,677
[ 4],2018-08-15 19:35:19,412,3.46,226,537
[ 4],2018-08-15 19:35:20,409,3.43,47,372
[ 4],2018-08-15 19:35:21,523,3.81,96,422
