IP,Time,Staus,Method
10.128.2.1,29/Nov/2017:06:58:55,200,GET
10.128.2.1,29/Nov/2017:06:59:02,302,POST
10.128.2.1,29/Nov/2017:06:59:03,200,GET
10.131.2.1,29/Nov/2017:06:59:04,200,GET
10.130.2.1,29/Nov/2017:06:59:06,200,GET
10.130.2.1,29/Nov/2017:06:59:19,200,GET
10.128.2.1,29/Nov/2017:06:59:19,200,GET
10.131.2.1,29/Nov/2017:06:59:19,200,GET
10.131.2.1,29/Nov/2017:06:59:30,200,GET
10.131.2.1,29/Nov/2017:06:59:37,302,GET
10.131.2.1,29/Nov/2017:06:59:37,200,GET
10.130.2.1,29/Nov/2017:07:00:19,200,GET
10.130.2.1,29/Nov/2017:07:00:21,200,GET
10.130.2.1,29/Nov/2017:13:31:27,302,GET
10.130.2.1,29/Nov/2017:13:31:28,200,GET
10.129.2.1,29/Nov/2017:13:38:03,302,POST
10.131.0.1,29/Nov/2017:13:38:04,200,GET
10.131.0.1,29/Nov/2017:13:38:07,200,GET
10.130.2.1,29/Nov/2017:13:38:19,302,GET
10.131.2.1,29/Nov/2017:13:38:20,200,GET
10.131.2.1,29/Nov/2017:13:38:20,200,GET
10.128.2.1,29/Nov/2017:13:38:20,200,GET
10.131.0.1,29/Nov/2017:13:38:20,200,GET
10.128.2.1,29/Nov/2017:13:38:20,200,GET
10.131.0.1,29/Nov/2017:13:38:20,200,GET
10.129.2.1,29/Nov/2017:13:38:20,200,GET
10.131.0.1,29/Nov/2017:13:38:21,200,GET
10.128.2.1,29/Nov/2017:13:38:21,200,GET
10.131.2.1,29/Nov/2017:13:38:23,200,GET
10.131.2.1,29/Nov/2017:13:46:46,200,GET
10.131.2.1,29/Nov/2017:13:46:50,200,GET
10.131.2.1,29/Nov/2017:13:46:53,302,GET
10.131.2.1,29/Nov/2017:13:46:54,200,GET
10.131.2.1,29/Nov/2017:13:47:04,302,POST
10.131.2.1,29/Nov/2017:13:47:05,200,GET
10.131.2.1,29/Nov/2017:13:47:16,302,POST
10.131.2.1,29/Nov/2017:13:47:16,200,GET
10.131.2.1,29/Nov/2017:13:47:19,302,GET
10.130.2.1,29/Nov/2017:13:47:20,200,GET
10.129.2.1,29/Nov/2017:13:49:25,302,GET
10.128.2.1,29/Nov/2017:13:49:26,200,GET
10.128.2.1,29/Nov/2017:13:49:32,200,GET
10.128.2.1,29/Nov/2017:13:49:34,200,GET
10.128.2.1,29/Nov/2017:13:49:37,200,GET
10.131.2.1,29/Nov/2017:13:51:40,302,GET
10.129.2.1,29/Nov/2017:13:51:41,200,GET
10.129.2.1,29/Nov/2017:13:51:44,302,POST
10.131.2.1,29/Nov/2017:13:51:44,200,GET
10.131.2.1,29/Nov/2017:13:51:46,200,GET
10.131.2.1,29/Nov/2017:13:51:49,200,GET
10.128.2.1,29/Nov/2017:13:57:04,200,GET
10.131.2.1,29/Nov/2017:14:04:57,200,GET
10.131.2.1,29/Nov/2017:14:05:10,200,GET
10.131.2.1,29/Nov/2017:14:05:12,200,GET
10.131.2.1,29/Nov/2017:14:05:16,200,GET
10.131.2.1,29/Nov/2017:14:05:22,200,GET
10.131.2.1,29/Nov/2017:14:05:24,200,GET
10.131.2.1,29/Nov/2017:14:05:28,200,GET
10.131.2.1,29/Nov/2017:14:05:35,200,GET
10.131.2.1,29/Nov/2017:14:05:37,200,GET
