organization_id,name,website,country,description,founded,industry,number_of_employees
9AF2278d3Ae4DD2,Walker Group,http://weeks.net/,Palau,Compatible reciprocal firmware,2000,Civic / Social Organization,9952
ab7EcA27EcCbc44,Macdonald PLC,https://www.brown.biz/,Rwanda,Horizontal neutral algorithm,1971,Gambling / Casinos,9950
FDdF45e1defEBBC,Ware LLC,http://pratt.net/,Cuba,Decentralized client-driven throughput,1998,Real Estate / Mortgage,9941
Ae2B2DE902c631b,Horton LLC,https://burnett-chase.com/,Puerto Rico,Persistent fault-tolerant Local Area Network,1984,Financial Services,9917
6b1Bbe5DfDAc090,"Townsend, Richmond and Underwood",http://www.christensen.com/,Congo,Intuitive multimedia monitoring,1973,Music,9915
21A92A2a6D4Faa2,Shelton PLC,https://medina.info/,Saudi Arabia,Multi-layered client-server Internet solution,1973,Food Production,9909
e5CA6529DCD4030,Mcpherson-Blanchard,http://www.ward.com/,Bulgaria,Integrated didactic product,1972,Law Enforcement,9890
a329E38BC365Cd9,"Dominguez, Branch and Mcgee",http://www.austin.com/,New Caledonia,Multi-layered heuristic parallelism,2000,Railroad Manufacture,9858
FCBa7584a40a7f3,"Mercer, Bush and Moore",https://www.kent-holmes.org/,Mali,Switchable web-enabled help-desk,2002,Writing / Editing,9852
B87a9762ff1eCDC,Mcconnell-Sheppard,https://www.hinton-howard.com/,Cape Verde,Reverse-engineered demand-driven capacity,1995,Primary / Secondary Education,9808
a7B1B0c9B11Ae4B,Oconnor Ltd,https://collier-jarvis.com/,Norway,Open-architected national system engine,2019,Outsourcing / Offshoring,9774
Ffb1A8AF4FEc7Ce,Vaughn LLC,http://www.bradley.com/,Botswana,Organized demand-driven capacity,1999,Food / Beverages,9751
aB32a0ecE7D91dE,Walsh-Shelton,https://burgess.org/,Tunisia,Seamless static adapter,2001,Pharmaceuticals,9737
aB6fB6DaBbeFBcd,"Holloway, Kaufman and Cross",https://floyd.com/,United States Minor Outlying Islands,Vision-oriented client-driven hub,1976,Arts / Crafts,9728
