School ID,School Name,Building Code,Street Address,City,State,Zip Code
02M260,Clinton School Writers and Artists,M933,425 West 33rd Street,Manhattan,NY,10001
06M211,Inwood Early College for Health and Information Technologies,M052,650 Academy Street,Manhattan,NY,10002
01M539,"New Explorations into Science, Technology and Math High School",M022,111 Columbia Street,Manhattan,NY,10002
02M294,Essex Street Academy,M445,350 Grand Street,Manhattan,NY,10002
02M308,Lower Manhattan Arts Academy,M445,350 Grand Street,Manhattan,NY,10002
02M545,High School for Dual Language and Asian Studies,M445,350 Grand Street,Manhattan,NY,10002
01M292,Henry Street School for International Studies,M056,220 Henry Street,Manhattan,NY,10002
01M696,Bard High School Early College,M097,525 East Houston Street,Manhattan,NY,10002
02M305,Urban Assembly Academy of Government and Law,M445,350 Grand Street,Manhattan,NY,10002
01M509,Marta Valle High School,M025,145 Stanton Street,Manhattan,NY,10002
01M448,University Neighborhood High School,M446,200 Monroe Street,Manhattan,NY,10002
02M543,New Design High School,M445,350 Grand Street,Manhattan,NY,10002
02M298,Pace High School,M131,100 Hester Street,Manhattan,NY,10002
02M420,High School for Health Professions and Human Services,M475,345 East 15th Street,Manhattan,NY,10003
02M399,High School for Language and Diplomacy,M460,40 Irving Place,Manhattan,NY,10003
02M546,Academy for Software Engineering,M460,40 Irving Place,Manhattan,NY,10003
02M533,Union Square Academy for Health Sciences,M460,40 Irving Place,Manhattan,NY,10003
02M438,International High School at Union Square,M460,40 Irving Place,Manhattan,NY,10003
02M407,Institute for Collaborative Education,M475,345 East 15th Street,Manhattan,NY,10003
02M374,Gramercy Arts High School,M460,40 Irving Place,Manhattan,NY,10003
02M551,Urban Assembly New York Harbor School,M877,550 Wheeler Avenue,Manhattan,NY,10004
02M580,Richard R. Green High School of Teaching,M282,26 Broadway,Manhattan,NY,10004
02M418,Millennium High School,M824,75 Broad Street,Manhattan,NY,10004
02M316,Urban Assembly School of Business for Young Women,M282,26 Broadway,Manhattan,NY,10004
02M489,High School of Economics and Finance,M833,100 Trinity Place,Manhattan,NY,10006
02M425,Leadership and Public Service High School,M894,90 Trinity Place,Manhattan,NY,10006
01M450,East Side Community School,M060,420 East 12th Street,Manhattan,NY,10009
02M411,Baruch College Campus High School,M874,55 East 25th Street,Manhattan,NY,10010
02M047,47 American Sign Language and English Secondary School,M047,223 East 23rd Street,Manhattan,NY,10010
02M413,School of the Future High School,M660,127 East 22nd Street,Manhattan,NY,10010
02M439,Manhattan Village Academy,M873,43 West 22nd Street,Manhattan,NY,10010
02M422,Quest to Learn,M440,351 West 18th Street,Manhattan,NY,10011
02M412,NYC Lab School for Collaborative Studies,M070,333 West 17th Street,Manhattan,NY,10011
02M534,Harvest Collegiate High School,M883,34 West 14th Street,Manhattan,NY,10011
02M437,Hudson High School of Learning Technologies,M440,351 West 18th Street,Manhattan,NY,10011
02M392,Manhattan Business Academy,M440,351 West 18th Street,Manhattan,NY,10011
02M605,Humanities Preparatory Academy,M440,351 West 18th Street,Manhattan,NY,10011
02M419,Landmark High School,M440,351 West 18th Street,Manhattan,NY,10011
02M600,High School of Fashion Industries,M600,225 West 24th Street,Manhattan,NY,10011
02M414,NYC Museum School,M070,333 West 17th Street,Manhattan,NY,10011
02M615,Chelsea Career and Technical Education High School,M615,131 Avenue of the Americas,Manhattan,NY,10013
02M376,NYC iSchool,M615,131 Avenue of the Americas,Manhattan,NY,10013
02M432,Murray Hill Academy,M620,111 East 33rd Street,Manhattan,NY,10016
02M427,Manhattan Academy for Arts and Language,M620,111 East 33rd Street,Manhattan,NY,10016
02M500,Unity Center for Urban Technologies,M620,111 East 33rd Street,Manhattan,NY,10016
02M393,Business of Sports School,M625,439 West 49th Street,Manhattan,NY,10019
02M303,Facing History School,M535,525 West 50th Street,Manhattan,NY,10019
02M296,High School of Hospitality Management,M535,525 West 50th Street,Manhattan,NY,10019
02M300,Urban Assembly School of Design and Construction,M535,525 West 50th Street,Manhattan,NY,10019
02M135,Urban Assembly School for Emergency Management,M625,439 West 49th Street,Manhattan,NY,10019
02M400,High School for Environmental Studies,M834,444 West 56th Street,Manhattan,NY,10019
02M630,Art and Design High School,M488,231-249 East 56th Street,Manhattan,NY,10019
02M542,Manhattan Bridges High School,M535,525 West 50th Street,Manhattan,NY,10019
02M507,Urban Assembly Gateway School for Technology,M625,439 West 49th Street,Manhattan,NY,10019
02M288,Food and Finance High School,M535,525 West 50th Street,Manhattan,NY,10019
02M416,Eleanor Roosevelt High School,M855,411 East 76th Street,Manhattan,NY,10021
03M299,"High School for Arts, Imagination, and Inquiry",M490,122 Amsterdam Avenue,Manhattan,NY,10023
03M307,Urban Assembly School for Media Studies,M490,122 Amsterdam Avenue,Manhattan,NY,10023
03M479,Beacon High School,M837,227-243 West 61st Street,Manhattan,NY,10023
03M485,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,M485,100 Amsterdam Avenue,Manhattan,NY,10023
03M494,High School of Arts and Technology,M490,122 Amsterdam Avenue,Manhattan,NY,10023
03M541,Manhattan / Hunter Science High School,M490,122 Amsterdam Avenue,Manhattan,NY,10023
03M859,Special Music School,M490,122 Amsterdam Avenue,Manhattan,NY,10023
03M492,"High School for Law, Advocacy, and Community Justice",M490,122 Amsterdam Avenue,Manhattan,NY,10023
03M402,Urban Assembly School for Green Careers,M470,145 West 84th Street,Manhattan,NY,10024
03M417,Frank McCourt High School,M470,145 West 84th Street,Manhattan,NY,10024
03M403,Global Learning Collaborative,M470,145 West 84th Street,Manhattan,NY,10024
03M415,Wadleigh Secondary School for the Performing and Visual Arts,M088,215 West 114th Street,Manhattan,NY,10026
03M860,Frederick Douglass Academy II Secondary School,M088,215 West 114th Street,Manhattan,NY,10026
05M362,Columbia Secondary School,M125,425 West 123rd Street,Manhattan,NY,10027
05M367,Academy for Social Action (College Board),M043,509 West 129th Street,Manhattan,NY,10027
05M369,Urban Assembly School for the Performing Arts,M043,509 West 129th Street,Manhattan,NY,10027
04M680,Heritage School,M107,1680 Lexington Avenue,Manhattan,NY,10029
04M555,Central Park East High School,M013,1573 Madison Avenue,Manhattan,NY,10029
04M495,Park East High School,M495,230 East 105th Street,Manhattan,NY,10029
04M610,Young Women's Leadership School,M895,105 East 106th Street,Manhattan,NY,10029
04M435,Manhattan Center for Science and Mathematics,M435,260 Pleasant Avenue,Manhattan,NY,10029
04M372,Esperanza Preparatory Academy,M117,240 East 109th Street,Manhattan,NY,10029
05M304,Mott Hall High School,M136,6 Edgecombe Avenue,Manhattan,NY,10030
05M670,Thurgood Marshall Academy for Learning and Social Change,M970,200-214 West 135th Street,Manhattan,NY,10030
05M692,"High School for Mathematics, Science, and Engineering at City College",M812,240 Convent Avenue,Manhattan,NY,10031
06M540,A. Philip Randolph Campus High School,M540,443 West 135th Street,Manhattan,NY,10031
06M552,Gregorio Luperon High School for Science and Mathematics,M876,501 West 165th Street,Manhattan,NY,10032
06M346,Community Health Academy of the Heights,M814,504 West 158th Street,Manhattan,NY,10032
06M348,Washington Heights Expeditionary Learning School,M143,511 West 182nd Street,Manhattan,NY,10033
06M423,High School for Excellence and Innovation,M052,650 Academy Street,Manhattan,NY,10034
05M157,Urban Assembly School for Global Commerce,M501,2005 Madison Avenue,Manhattan,NY,10035
04M409,Coalition School for Social Change,M045,2351 1st Avenue,Manhattan,NY,10035
02M531,Repertory Company High School for Theatre Arts,M896,123 West 43rd Street,Manhattan,NY,10036
02M408,Professional Performing Arts High School,M017,328 West 48th Street,Manhattan,NY,10036
02M529,Jacqueline Kennedy Onassis High School,M486,120 West 46th Street,Manhattan,NY,10036
02M280,Manhattan Early College School for Advertising,M520,411 Pearl Street,Manhattan,NY,10038
02M520,Murry Bergtraum High School for Business Careers,M520,411 Pearl Street,Manhattan,NY,10038
02M282,Urban Assembly Maker Academy,M520,411 Pearl Street,Manhattan,NY,10038
02M139,Stephen T. Mather Building Arts and Craftsmanship High School,M520,411 Pearl Street,Manhattan,NY,10038
05M499,Frederick Douglass Academy,M010,2581 7th Avenue,Manhattan,NY,10039
06M463,High School for Media and Communications,M465,549 Audubon Avenue,Manhattan,NY,10040
06M462,College Academy,M465,549 Audubon Avenue,Manhattan,NY,10040
06M467,High School for Law and Public Service,M465,549 Audubon Avenue,Manhattan,NY,10040
06M293,City College Academy of the Arts,M218,4600 Broadway,Manhattan,NY,10040
06M468,High School for Health Careers and Sciences,M465,549 Audubon Avenue,Manhattan,NY,10040
02M459,Manhattan International High School,M480,317 East 67th Street,Manhattan,NY,10065
02M519,Talent Unlimited High School,M480,317 East 67th Street,Manhattan,NY,10065
02M449,Vanguard High School,M480,317 East 67th Street,Manhattan,NY,10065
02M655,Life Sciences Secondary School,M645,320 East 96th Street,Manhattan,NY,10128
02M475,Stuyvesant High School,M477,345 Chambers Street,Manhattan,NY,10282
31R600,Ralph R. McKee Career and Technical Education High School,R600,290 St Marks Place,Staten Island,NY,10301
31R080,Michael J. Petrides School,R880,715 Ocean Terrace,Staten Island,NY,10301
31R450,Curtis High School,R450,105 Hamilton Avenue,Staten Island,NY,10301
31R445,Port Richmond High School,R445,85 St Josephs Avenue,Staten Island,NY,10302
31R605,Staten Island Technical High School,R440,485 Clawson Street,Staten Island,NY,10306
31R440,New Dorp High School,R435,465 New Dorp Lane,Staten Island,NY,10306
31R455,Tottenville High School,R455,100 Luten Avenue,Staten Island,NY,10312
31R460,Susan E. Wagner High School,R460,1200 Manor Road,Staten Island,NY,10314
31R064,Gaynor McCown Expeditionary Learning School,R043,100 Essex Drive,Staten Island,NY,10314
31R047,CSI High School for International Studies,R043,100 Essex Drive,Staten Island,NY,10314
07X522,Bronx Design and Construction Academy,X600,333 East 151st Street,Bronx,NY,10451
07X547,New Explorers High School,X790,730 Concourse Village West,Bronx,NY,10451
