auctionid,bid,bidtime,bidder,bidderrate,openbid,price
8213034705,95,2.927373,jake7870,0,95,117.5
8213034705,115,2.943484,davidbresler2,1,95,117.5
8213034705,100,2.951285,gladimacowgirl,58,95,117.5
8213034705,117.5,2.998947,daysrus,10,95,117.5
8213060420,2,0.065266,donnie4814,5,1,120
8213060420,15.25,0.123218,myreeceyboy,52,1,120
8213060420,3,0.186539,parakeet2004,5,1,120
8213060420,10,0.18669,parakeet2004,5,1,120
8213060420,24.99,0.187049,parakeet2004,5,1,120
8213060420,20,0.249491,bluebubbles_1,25,1,120
8213060420,22,0.24956,bluebubbles_1,25,1,120
8213060420,24,0.249653,bluebubbles_1,25,1,120
8213060420,26,0.249757,bluebubbles_1,25,1,120
8213060420,80,0.59059,sa4741,3,1,120
8213060420,75,0.657384,jhnsn2273,51,1,120
8213060420,85,0.657917,jhnsn2273,51,1,120
8213060420,83,0.816447,sa4741,3,1,120
8213060420,100,1.005903,sa4741,3,1,120
8213060420,100,1.012697,jhnsn2273,51,1,120
8213060420,110,1.013056,jhnsn2273,51,1,120
8213060420,105,2.79934,pagep123,2,1,120
8213060420,110,2.799676,pagep123,2,1,120
8213060420,115,2.800197,pagep123,2,1,120
8213060420,115,2.968495,skcardina,1,1,120
8213060420,117.5,2.972766,skcardina,1,1,120
8213060420,120,2.999722,djnoeproductions,17,1,120
8213067838,65.01,0.122836,eemiller007,30,29.99,132.5
8213067838,31,1.492153,slobman69,17,29.99,132.5
8213067838,50,1.766331,shaylabeau,28,29.99,132.5
8213067838,60,1.766563,shaylabeau,28,29.99,132.5
8213067838,79.01,2.088021,eemiller007,30,29.99,132.5
8213067838,70,2.577928,pauls4120,1,29.99,132.5
8213067838,75,2.578704,pauls4120,1,29.99,132.5
8213067838,80,2.579572,pauls4120,1,29.99,132.5
8213067838,100,2.835023,phatspyder02,6,29.99,132.5
8213067838,100,2.946308,godb_24,0,29.99,132.5
8213067838,120,2.946516,godb_24,0,29.99,132.5
8213067838,105,2.989051,unique82me,0,29.99,132.5
8213067838,110,2.989178,unique82me,0,29.99,132.5
8213067838,115,2.989317,unique82me,0,29.99,132.5
8213067838,120,2.989387,unique82me,0,29.99,132.5
8213067838,125,2.989468,unique82me,0,29.99,132.5
8213067838,130,2.99316,unique82me,0,29.99,132.5
8213067838,130,2.996516,*champaignbubbles*,202,29.99,132.5
8213067838,132.5,2.996632,*champaignbubbles*,202,29.99,132.5
8213067838,132.5,2.997789,*champaignbubbles*,202,29.99,132.5
8213073509,5,0.043657,jannie246,1,1,114.5
8213073509,1.25,0.047361,bozcat05,0,1,114.5
8213073509,5,0.047813,bozcat05,0,1,114.5
8213073509,10,0.048264,bozcat05,0,1,114.5
8213073509,50,0.53191,sa4741,3,1,114.5
8213073509,15,0.857049,gurgol123,0,1,114.5
8213073509,30,0.857431,gurgol123,0,1,114.5
8213073509,65,0.860914,gurgol123,0,1,114.5
8213073509,60,1.056944,padrick678,51,1,114.5
8213073509,80,1.805104,princezjazzie,1,1,114.5
8213073509,90.11,2.242083,djfelony,265,1,114.5
8213073509,90,2.423229,sa4741,3,1,114.5
8213073509,92,2.423866,sa4741,3,1,114.5
8213073509,101.09,2.639931,djfelony,265,1,114.5
8213073509,94,2.650451,midcustom,9,1,114.5
8213073509,96,2.650706,midcustom,9,1,114.5
8213073509,101,2.750023,padrick678,51,1,114.5
8213073509,111,2.821053,jettero88,80,1,114.5
8213073509,106.5,2.98066,jdubs004,0,1,114.5
8213073509,112,2.980856,jdubs004,0,1,114.5
8213073509,114.5,2.999236,rr6kids,4,1,114.5
8213119950,1,0.011748,bluebubbles_1,25,0.01,100
8213119950,30.25,0.044919,amberselectronics,1,0.01,100
8213119950,5,0.300961,consolidated_networking_solutions,14,0.01,100
8213119950,10,0.301146,consolidated_networking_solutions,14,0.01,100
8213119950,15,0.475266,consolidated_networking_solutions,14,0.01,100
8213119950,20,0.47544,consolidated_networking_solutions,14,0.01,100
8213119950,25,0.601574,bluebubbles_1,25,0.01,100
8213119950,30,0.601632,bluebubbles_1,25,0.01,100
8213119950,33.02,0.601701,bluebubbles_1,25,0.01,100
8213119950,55,2.406921,zimm2003,7,0.01,100
8213119950,40,2.63456,raymond1725,0,0.01,100
8213119950,45,2.634907,raymond1725,0,0.01,100
8213119950,50,2.635127,raymond1725,0,0.01,100
8213119950,55,2.775787,cra71,4,0.01,100
8213119950,60,2.775995,cra71,4,0.01,100
8213119950,57,2.78669,simoncharlyfelix,1,0.01,100
8213119950,60,2.786875,simoncharlyfelix,1,0.01,100
8213119950,61.5,2.787025,simoncharlyfelix,1,0.01,100
8213119950,70,2.837315,zimm2003,7,0.01,100
8213119950,63.5,2.847037,danasdeals4you,0,0.01,100
8213119950,70,2.847187,danasdeals4you,0,0.01,100
8213119950,71,2.847315,danasdeals4you,0,0.01,100
8213119950,72,2.851991,simoncharlyfelix,1,0.01,100
8213119950,76,2.871736,danasdeals4you,0,0.01,100
8213119950,74,2.872731,simoncharlyfelix,1,0.01,100
8213119950,80,2.886273,anneh8358,1,0.01,100
8213119950,80,2.897836,danasdeals4you,0,0.01,100
8213119950,81,2.897905,danasdeals4you,0,0.01,100
8213119950,82,2.946331,bewildered622,6,0.01,100
8213119950,83,2.948727,danasdeals4you,0,0.01,100
8213119950,100,2.959711,affreu,1,0.01,100
8213119950,85,2.961424,danasdeals4you,0,0.01,100
8213119950,90,2.961505,danasdeals4you,0,0.01,100
8213119950,100,2.961597,danasdeals4you,0,0.01,100
8213162076,50,2.554537,pinky_34,427,40,90
8213162076,60,2.555602,sloni2410,2,40,90
8213162076,56,2.572326,palmlumber72,40,40,90
8213162076,65,2.572616,palmlumber72,40,40,90
8213162076,70,2.641273,davariozzz,1,40,90
8213162076,67,2.814178,johnny916,327,40,90
8213162076,70,2.814294,johnny916,327,40,90
8213162076,75,2.814363,johnny916,327,40,90
8213162076,82,2.814722,johnny916,327,40,90
8213162076,89,2.914861,imaginationqueen,880,40,90
8213162076,85,2.969329,damch47d,16,40,90
8213162076,90,2.996748,damch47d,16,40,90
8213183841,50,2.390428,dwainessa123,32,50,96.99
8213183841,60,2.414803,64pman,14,50,96.99
8213183841,55.11,2.546134,nelsonhummer3000,2,50,96.99
8213183841,61.5,2.546736,nelsonhummer3000,2,50,96.99
8213183841,62,2.638542,bikebeltboy,4,50,96.99
8213183841,96.99,2.704352,pmp521,16,50,96.99
