manufacturer,model_name,screen_size_inches,screen,cpu,ram_gb,storage,os,os_version,weight_kg,price_euros,cpu2,gpu_manufacturer,cpu_manufacturer,screen_width_px,screen_high_px,cpu_speed_ghz,storage_size_gb
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,macOS,X,1.37,1339.69,2.3,Intel,Intel,2560,1600,2.3,128
Apple,Macbook Air,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,macOS,X,1.34,898.94,1.8,Intel,Intel,1440,900,1.8,128
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,No OS,Version Unknown,1.86,575.0,2.5,Intel,Intel,1920,1080,2.5,256
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,macOS,X,1.83,2537.45,2.7,AMD,Intel,2880,1800,2.7,512
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,macOS,X,1.37,1803.6,3.1,Intel,Intel,2560,1600,3.1,256
Acer,Aspire 3,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,Windows,10,2.1,400.0,3.0,AMD,AMD,1366,768,3.0,500
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,macOS,X,2.04,2139.97,2.2,Intel,Intel,2880,1800,2.2,256
Apple,Macbook Air,13.3,1440x900,Intel Core i5 1.8GHz,8,256GB Flash Storage,macOS,X,1.34,1158.7,1.8,Intel,Intel,1440,900,1.8,256
Asus,ZenBook UX430UN,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.3,1495.0,1.8,Nvidia,Intel,1920,1080,1.8,512
Acer,Swift 3,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.6,770.0,1.6,Intel,Intel,1920,1080,1.6,256
HP,250 G6,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,No OS,Version Unknown,1.86,393.9,2.5,Intel,Intel,1366,768,2.5,500
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,No OS,Version Unknown,1.86,344.99,2.0,Intel,Intel,1920,1080,2.0,500
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB SSD,macOS,X,1.83,2439.97,2.8,AMD,Intel,2880,1800,2.8,256
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Windows,10,2.2,498.9,2.0,AMD,Intel,1920,1080,2.0,256
Apple,"MacBook 12""",12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB SSD,macOS,X,0.92,1262.4,1.2,Intel,Intel,2304,1440,1.2,256
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB SSD,macOS,X,1.37,1518.55,2.3,Intel,Intel,2560,1600,2.3,256
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,2.2,745.0,2.7,AMD,Intel,1920,1080,2.7,256
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB SSD,macOS,X,1.83,2858.0,2.9,AMD,Intel,2880,1800,2.9,512
Lenovo,IdeaPad 320-15IKB,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,No OS,Version Unknown,2.2,499.0,2.4,Nvidia,Intel,1920,1080,2.4,1000
Dell,XPS 13,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Windows,10,1.22,979.0,1.6,Intel,Intel,1920,1080,1.6,128
Asus,Vivobook E200HA,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Windows,10,0.98,191.9,1.44,Intel,Intel,1366,768,1.44,32
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,2.5,999.0,2.5,Nvidia,Intel,1920,1080,2.5,128
HP,255 G6,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,No OS,Version Unknown,1.86,258.0,1.5,AMD,AMD,1366,768,1.5,500
Dell,Inspiron 5379,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.62,819.0,1.6,Intel,Intel,1920,1080,1.6,256
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.91,659.0,1.8,Intel,Intel,1920,1080,1.8,256
Dell,Inspiron 3567,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.3,418.64,2.0,Intel,Intel,1366,768,2.0,1000
Apple,MacBook Air,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,macOS,X,1.35,1099.0,1.6,Intel,Intel,1440,900,1.6,128
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.2,800.0,1.6,AMD,Intel,1920,1080,1.6,256
Dell,Latitude 5590,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Windows,10,1.88,1298.0,1.9,Intel,Intel,1920,1080,1.9,256
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,2.5,896.0,1.6,Nvidia,Intel,1920,1080,1.6,1000
Chuwi,"LapBook 15.6""",15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Windows,10,1.89,244.99,1.44,Intel,Intel,1920,1080,1.44,64
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,Windows,10,1.65,199.0,1.5,AMD,AMD,1366,768,1.5,32
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,Windows,10,2.71,439.0,2.5,AMD,AMD,1920,1080,2.5,500
Dell,XPS 13,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.2,1869.0,1.8,Intel,Intel,3200,1800,1.8,512
Apple,MacBook Air,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,macOS,X,1.35,998.0,1.6,Intel,Intel,1440,900,1.6,256
Lenovo,IdeaPad 120S-14IAP,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Windows,10,1.44,249.0,1.1,Intel,Intel,1366,768,1.1,64
