City;Country
Aachen;Germany
Aalborg;Denmark
Augsburg;Germany
Berlin;Germany
Bielefeld;Germany
Bochum;Germany
Bonn;Germany
Braunschweig;Germany
Bremen;Germany
Chemnitz;Germany
Cologne;Germany
Copenhagen;Denmark
Darmstadt;Germany
Dortmund;Germany
Dresden;Germany
Düsseldorf;Germany
Duisburg;Germany
Erfurt;Germany
Essen;Germany
Frankfurt;Germany
Freiburg im Breisgau;Germany
Gelsenkirchen;Germany
Hagen;Germany
Halle an der Saale;Germany
Hamburg;Germany
Hamm;Germany
Hannover;Germany
Heidelberg;Germany
Herne;Germany
Ingolstadt;Germany
Karlsruhe;Germany
Kassel;Germany
Kiel;Germany
Krefeld;Germany
Lübeck;Germany
Leipzig;Germany
Leverkusen;Germany
Ludwigshafen am Rhein;Germany
Magdeburg;Germany
Mainz;Germany
Mannheim;Germany
Mülheim a.d.Ruhr;Germany
Mönchengladbach;Germany
Münster;Germany
Munich;Germany
Nuremberg;Germany
Oberhausen;Germany
Odense;Denmark
Oldenburg;Germany
Osnabrück;Germany
Potsdam;Germany
Regensburg;Germany
Ãâ¦rhus;Denmark
Rostock;Germany
Saarbrücken;Germany
Solingen;Germany
Stuttgart;Germany
Wiesbaden;Germany
Würzburg;Germany
Wuppertal;Germany
